"","estacion","departamento","provincia","municipio","latitud","longitud","altitud","tipo","propietario","financiador"
48,"Villa Charcas - GPRS","Chuquisaca","Nor Cinti","Villa Charcas",-20.7167,-64.8667,2650,"Meteorológica de 2do Orden","SENAMHI","FAO"
49,"Punilla","Chuquisaca","Oropeza","Poroma",-18.9833,-65.3083,3300,"Meteorológica de 4to Orden","SENAMHI","OMM"
50,"San Juan de Orcas - GPRS","Chuquisaca","Oropeza","Poroma",-18.7308,-65.3144,2991,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
51,"Cajamarca - GPRS","Chuquisaca","Oropeza","Sucre",-18.9845,-65.3829,3313,"Meteorológica de 2do Orden","ELAPAZ","Baanco Mundial"
52,"Chuqui Chuqui","Chuquisaca","Oropeza","Sucre",-18.8311,-65.1225,1792,"Meteorológica de 3er Orden","SENAMHI","OMM"
53,"El Reloj","Chuquisaca","Oropeza","Sucre",-19.0381,-65.2431,2840,"Meteorológica de 4to Orden","SENAMHI","OMM"
54,"La Barranca Universidad","Chuquisaca","Oropeza","Sucre",-18.9839,-65.3028,2964,"Meteorológica de 3er Orden","SENAMHI","FAO"
55,"Potolo - GPRS","Chuquisaca","Oropeza","Sucre",-19.0238,-65.5411,0,"Meteorológica de 2do Orden","VRHR - MMAyA","Banco Mundial"
56,"Quila Quila - GPRS","Chuquisaca","Oropeza","Sucre",-19.1187,-65.3775,2931,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Baanco Mundial"
57,"Sucre SENAMHI","Chuquisaca","Oropeza","Sucre",-19.05,-65.2167,2890,"Meteorológica de 4to Orden","SENAMHI","OMM"
58,"Talula - Tako Tako","Chuquisaca","Oropeza","Sucre",-19.11,-65.4053,2859,"Meteorológica de 3er Orden","SENAMHI","OMM"
59,"Toma Ravelo - GPRS","Chuquisaca","Oropeza","Sucre",-18.9339,-65.4599,0,"Meteorológica de 2do Orden","VRHR - MMAyA","Banco Mundial"
60,"Anfaya - GPRS","Chuquisaca","Oropeza","Yotala",-19.2506,-65.2536,3064,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
61,"Cachimayu","Chuquisaca","Oropeza","Yotala",-19.1333,-65.2667,2400,"Meteorológica de 4to Orden","SENAMHI","OMM"
62,"Puente Sucre","Chuquisaca","Oropeza","Yotala",-19.3533,-65.1772,2239,"Meteorológica de 4to Orden","SENAMHI","OMM"
63,"Yotala","Chuquisaca","Oropeza","Yotala",-19.1617,-65.2664,2520,"Meteorológica de 4to Orden","SENAMHI","OMM"
64,"Ñucchu","Chuquisaca","Oropeza","Yotala",-19.2047,-65.2756,2398,"Meteorológica de 4to Orden","SENAMHI","OMM"
65,"Culpina","Chuquisaca","Sud Cinti","Culpina",-20.8183,-64.9478,2970,"Meteorológica de 3er Orden","SENAMHI","OMM"
66,"Culpina - GPRS","Chuquisaca","Sud Cinti","Culpina",-20.8331,-64.9664,2965,"Meteorológica de 2do Orden","Municipio","Municipio"
67,"El Tranque - GPRS","Chuquisaca","Sud Cinti","Culpina",-20.8108,-64.9478,3034,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
68,"Villa Abecia","Chuquisaca","Sud Cinti","Villa Abecia",-20.9806,-65.2311,2280,"Meteorológica de 4to Orden","SENAMHI","OMM"
69,"Charpaxi - GPRS","Chuquisaca","Sud Cintis","Villa Abecia",-20.9797,-65.2911,3000,"Meteorológica de 2do Orden","PROFIN - Municipio","PROFIN - Municipio"
70,"Villa Abecia - GPRS","Chuquisaca","Sud Cintis","Villa Abecia",-20.9722,-65.2339,2314,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
71,"El Villar","Chuquisaca","Tomina","El Villar",-19.6311,-64.3069,2080,"Meteorológica de 3er Orden","SENAMHI","OMM"
72,"El Villar - GPRS","Chuquisaca","Tomina","El Villar",-19.6472,-64.3069,2071,"Meteorológica de 2do Orden","Municipio de El Villar","Municipio de El Villar"
73,"El Rosal - GPRS","Chuquisaca","Tomina","Padilla",-19.4811,-64.1775,2050,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
74,"Sopachuy","Chuquisaca","Tomina","Sopachuy",-19.4861,-64.4744,2098,"Meteorológica de 3er Orden","SENAMHI","OMM"
75,"Sopachuy - GPRS","Chuquisaca","Tomina","Sopachuy",-19.4989,-64.475,2140,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
76,"Tomina - GPRS","Chuquisaca","Tomina","Tomina",-19.1889,-64.4633,2070,"Meteorológica de 2do Orden","Municipio","Municipio"
77,"Villa Alcala","Chuquisaca","Tomina","Villa Alcala",-19.3608,-64.3878,2080,"Meteorológica de 4to Orden","SENAMHI","OMM"
78,"Villa Alcalá - GPRS","Chuquisaca","Tomina","Villa Alcalá",-19.3642,-64.3836,2073,"Meteorológica de 2do Orden","Municipio","Municipio"
79,"Morado Kasa - GPRS","Chuquisaca","Yamparaez","Tarabuco",-19.0544,-64.9136,2841,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Gobernacion de Chuquisaca"
80,"Tarabuco","Chuquisaca","Yamparaez","Tarabuco",-19.1806,-64.9133,3284,"Meteorológica de 3er Orden","SENAMHI","OMM"
